Title,Alternative Title,Period,Area,Home Institution,Editor,Language,Category,URL,Access,Description,Last Modified,Contact
Contemporary Chinese Village Gazetteer Data,,modern,China,University of Pittsburgh,University of Pittsburgh,English,"archive,data set/statistics",http://www.chinesevillagedata.library.pitt.edu/,open access,"The Contemporary Chinese Village Gazetteer Data (CCVG Data) project consists of data selected from the ULS collection of Chinese village gazetteers. Village gazetteers record statistical data on individual villages, covering the years from 1949 to the present showing the history and development of Chinese villages (the village is the most basic administrative unit in China). The CCVG Data project, the first of its kind, offers scholars a dataset based on the ULS East Asian Library’s growing collection of Chinese village gazetteers, which currently numbers over 2,700.

To create the CCVG dataset, gazetteers were selected from the collection, demographic and economic data was collected from these volumes, and this data was extracted using a data entry platform designed by the ULS. The resulting dataset is published on this website for free download by scholars around the world. The current dataset covers 1,800 villages and was uploaded in February 2022. The project will continue extracting data from more gazetteers as time and resources allow with the goal of eventually reaching 2,500–3,000 village gazetteers.

The dataset containing information on 1,800 villages is available for download in .csv format. An interactive map with basic administrative information on each collected village is also included in the website. A database with tools of filtering, cross-searching, and visualizations is currently under design.",12/14/2023 2:19pm,
"Database of Tang, Song, and Liao Tombs",,premodern,China,Nicolas Tackett,Nicolas Tackett,English,data set/statistics,https://history.berkeley.edu/nicolas-tackett,open access,"唐宋遼墓葬數據庫(link is external) (1.0版) (Database of Tang, Song, and Liao Tombs, version 1.0) <TSLT010.mdb>. Includes data on over 1,700 excavated tombs (currently mostly from Northeast China). Guide to the database here.",12/14/2023 2:19pm,
Dictionnaire  Biographique de la Chine Occupée / Biographical Dictionary Of Occupied China,,,,The ENP-China project,,,,https://bdoc.enpchina.eu/,partial open access,"Online resource created by historian David Serfass (Inalco). The BDOC seeks to address a significant lacuna in the scholarship surrounding the Japanese occupation of China (1937-1945). The current tally of entries stands at 170, but this number is anticipated to grow steadily, aspiring to emulate the breadth and depth of “the Boorman”. The vision for the BDOC is to evolve into a collaborative endeavor, uniting historians specializing in occupied China. Please check out the full presentation of the  Biographical Dictionary of Occupied China (BDOC) on the ENP-China research blog: https://enepchina.hypotheses.org/5304 
",9/23/2024 9:47am,
Digital Archive for Chinese Studies,,modern,China,Heidelberg University,Heidelberg University,English,"database,curated collection,visual tools,archive",https://www.zo.uni-heidelberg.de/boa/digital_resources/dachs/index_en.html,open access,"DACHS collects and preserves website resources relevant for Chinese Studies, with special focus on social and political discourse. The main aim is to make the collected data available for researchers and scholars in the future. Special emphasis is given on social and political discourse on the Chinese Internet.",12/14/2023 2:19pm,
Digital Archive of Chinese Buddhist Temple Gazetteers,,premodern,China,Dharma Drum Institute of Liberal Arts,Dharma Drum Institute of Liberal Arts,English,"data set/statistics,archive,network analysis,maps/mapping",http://buddhistinformatics.dila.edu.tw/fosizhi/,open access,"This is the website for the Temple Gazetteer Project at the Dharma Drum Institute of Liberal Arts. Gazetteers or local histories are a distinct genre of Chinese historiography. Usually written by scholars interested in a region, city or temple, gazetteers are compilations of a variety of texts. They are treasure houses containing topographical descriptions, biographies, poems, maps, portraits, miracle stories and much more. The aim of the project is to tap into this wealth of information in order to deepen our understanding of Chinese Buddhist history. Between 2007 and 2010, 237 gazetteers were digitized and are distributed on this website. Of these 13 gazetteers were digitized as full-text archives and marked up with TEI/XML, identifying all person and place names as well as dates. ",12/14/2023 2:19pm,
Digital Database of Buddhist Tripitaka Catalogues,,premodern,"East Asia,China","National Digital Archives Program, Taiwan","National Digital Archives Program, Taiwan",English,"archive,curated collection,database,visual tools",http://jinglu.cbeta.org/index_e.htm,open access,"The Digital Database of Buddhist Tripitaka Catalogues is dedicated to collected and constructed multi-lingual Tripitaka catalogues. In our database, there are 22 editions and about 33,700 catalogs from Chinese Buddhist Tripitaka, including the stone carved ""Fangshan Shijing"". The Tibetan Buddhist Tripitaka has about 4,569 catalogues, the Pali Tipitaka has 7,003 catalogues of Nikaya and Agama suttas, and there are also Sanskrit catalogs, deriving mainly from the manuscripts found in Central Asia. Our goal is not only digitizing these documents, but also setting up a search facility on the web for public use. Through the key words searching, users will conveniently acquire comprehensively information from different sources of various editions and versions of Tripitaka catalogs, and link to the corresponding full text.",12/14/2023 2:19pm,
Digital Dictionary of Buddhism,,premodern,"Japan,Korea,China,Taiwan",Charles Muller,Charles Muller,English,"dictionary,database",http://www.buddhism-dict.net/ddb/,partial open access,"The Digital Dictionary of Buddhism [DDB] is a compilation of Chinese ideograph-based terms, texts, temple, schools, persons, etc. found in Buddhist canonical sources. ",12/14/2023 2:19pm,
Digital Maps of Old Beijing,,"premodern,modern",China,National Institute of Informatics,National Institute of Informatics,English,"curated collection,maps/mapping,archive",http://dsr.nii.ac.jp/beijing-maps/index.html.en,open access,"250 years of change in Beijing revived with maps and photographs.  The Digital Silk Road research group has built a digital archive of the Silk Road region and Beijing, digitizing many rare books, and georectifying and publishing old maps.",12/14/2023 2:19pm,
Digital Silk Road,,premodern,"Asia,Mongolia,China",National Institute of Informatics,National Institute of Informatics,English,"archive,database,curated collection,maps/mapping,visual tools",http://dsr.nii.ac.jp/index.html.en,open access,Digital Silk Road Project is a digital humanities research project about creating digital archives of cultural heritage based on collaboration between informatics and humanities.,12/14/2023 2:19pm,
Digital Special Collections Run Run Shaw Library,,"premodern,modern","China,Hong Kong",City University of Hong Kong,City University of Hong Kong,English,"archive,curated collection,visual tools",https://www.cityu.edu.hk/lib/digitalcollections/,open access,"The Run Run Shaw Library of the City University of Hong Kong offers in its Digital Special Collections these collections for public use: (1) Chinese Rare Books Special Collection, (2) English Law Special Collection, (3) 1911-1949 Minguo Publications, (4) Hong Kong Publications, (5) Manuscripts/Letters & Correspondences, (6) Posters/Leaflets, (7) Photographs, and (8) Land Deeds.",12/14/2023 2:19pm,
Digital 法寶義林 (Hôbôgirin),,premodern,"East Asia,Japan,China,Korea",Buddhist Studies Authority Database Project,Buddhist Studies Authority Database Project,English,"curated collection,visual tools,maps/mapping,bibliography",https://tripitaka.l.u-tokyo.ac.jp/hbgrn/,open access,"This site provides an interface to the index of Hôbôgirin (法宝義林), a directory of titles, authors and translators published in 1931 of the Sino-Japanese Buddhist Canon. This supplement contains valuable apocryphal texts composed in China, works in Chinese written by Japanese in the ancient period and volumes of iconography. Users can search and browse the data of Hôbôgirin on the site's map and the timeline. This Web site provides a 法寶義林(Hôbôgirin) file compliant with TEI (Text Encoding Initiative) P5 Guidelines. It allows the user to extract various types of data by use of the TEI/XML elements and attributes embedded to the text data of the 法寶義林.",12/14/2023 2:19pm,
Down to the Countryside Movement,,modern,China,Dartmouth College,Dartmouth College,English,"archive,database,curated collection,visual tools",https://www.dartmouth.edu/~library/digital/collections/manuscripts/rusticated-youth/index.html,open access,"This collection documenting the cultural memory of the Down to the Countryside Movement during China's Cultural Revolution between 1968 and 1978. Dartmouth Library has collected original materials from the rustication period including diaries, letters, photographs, and artifacts. These materials include participants' first-hand accounts reflecting on their experiences, shifting their perspectives, and recalling their living conditions during rustication.",12/14/2023 2:19pm,
Dream of the Red Chamber: Afterlives,,premodern,China,Ann Waltner,Ann Waltner,English,research project,https://open.lib.umn.edu/redchamber/,open access,"Dream of the Red Chamber: Afterlives had its genesis as website which was a companion to the English-language opera Dream of the Red Chamber, co-produced by the San Francisco Opera and the Hong Kong Arts Festival. The opera premiered in San Francisco 2016 and has since been performed in Hong Kong and several cities in China.  Information about the opera, and a brief discussion of the ways in which it differs from the novel, is contained in Appendix A.

The original website was devised in the context of a graduate seminar taught by Ann Waltner with the assistance of Marguerite Ragnow at the University of Minnesota in the spring of 2016; some student contributions have been incorporated into this PressBook.",12/14/2023 2:19pm,
Early Chinese Music Resources,,premodern,China,David Badagnani,David Badagnani,English,"archive,curated collection",http://earlychinesemusic.blogspot.com/2020/04/site-index.html,open access,"Collection of resources relating to Chinese music through the Qing, with links to scores, audio and video recordings, and textual sources.",12/14/2023 2:19pm,
Early Chinese Periodicals Online,,modern,China,"Centre for Asian and Transcultural Studies, Heidelberg university","Centre for Asian and Transcultural Studies, Heidelberg university",English,"OCR,database,curated collection,research project",https://uni-heidelberg.de/ecpo,open access,"ECPO joins together several important digital collections of the early Chinese press and makes them available open access. It provides full runs of publications including advertising inserts and illustrations, and a detailed publishing history. For a number of periodicals the project added descriptions on item level: article, image, and advertisement. Each item's content is analyzed by keywords. The project also offers a cross-database agent service and API's for re-use of its metadata. Recently, ECPO started to work with neural networks with a focus on document layout recognition of Republican newspapers and OCRing individual text segments. The aim is to advance the processing of Republican China newspapers and provide the content as full text.",12/14/2023 2:19pm,
East Asia Digital Library,,"premodern,modern","East Asia,Japan,Korea,China","National Library of Korea; National Diet Library,","National Library of Korea; National Diet Library,",English,database,https://eadl.asia/,open access,"The East Asia Digital Library (EADL) is a portal site focusing on East Asian cultural and scientific resources. The National Library of Korea and the National Diet Library, Japan develop and operate the site collaboratively.

The EADL makes primary materials about East Asia available free of charge and in multilingual format.

In addition to simple searches using keywords, users can perform advanced searches by using the document title, the creator of the work, and digitized materials of the old materials. The participating institutions select and catalogue all digital resources.",12/14/2023 2:19pm,
East Asian Scroll Paintings Search,,premodern,"China,Japan,Korea",University of Chicago Center for Art of East Asia,University of Chicago Center for Art of East Asia,English,"archive,visual tools,database",https://scrolls.uchicago.edu/,open access,"This site features East Asian handscroll paintings from the 3rd to 19th centuries from Japan, China, and Korea. High resolution images are provided and can be compared to one another using the HandscrollViewer. Search options are available.
",12/14/2023 2:19pm,
Ecological Awareness in Chinese Contemporary Art,,modern,China,Yang Jing,Yang Jing,English,"research project,archive,curated collection",https://expo.oscapps.jyu.fi/s/ecological-awareness-in-chinese-contemporary-art/page/welcome,open access,"The post-doctoral research project “Ecological Awareness in Chinese Contemporary Art” aims to provide a comprehensive understanding of the “ecological turn” in Chinese contemporary art since the early 1990s. This research is built on an in-depth investigation of 18 Chinese artists and their works. The study of the “ecological turn” contains three dimensions. First, this study discusses the ecological issues these Chinese artists have addressed, and how these issues have referred to the artists’ personal experiences. Second, it explores these artists’ creative process, such as their art concepts, their application of materials and mediums, their exhibition strategies and etc. The third dimension is focused on the artists’ multi- and cross-disciplinary efforts to solve ecological and environmental problems through the use of art.",12/14/2023 2:19pm,
"Elites, Networks and Power in modern China",,"modern,premodern","China,Taiwan","Christian Henriot, Aix-Marseille Université, European Research Council ","Christian Henriot, Aix-Marseille Université, European Research Council ",English,"research project,institute/organization,network analysis,visual tools,maps/mapping,topic modeling,database,text mining",https://enepchina.hypotheses.org/,open access,"Official research blog of the ERC project ENP-China, which proposes a step-change in the study of modern China reliant upon scalable data-rich history. It will deliver precise historical information at an unprecedented scale from heretofore untapped sources – as well as reshaping the analysis of existing sources – to create a new dimension in the study of the transformation of elites in modern China. ",12/14/2023 2:19pm,
Exploring Republican China in the USC Digital Library,,modern,China,University of Southern California Libraries,University of Southern California Libraries,English,"archive,visual tools,network analysis,text mining",https://scalar.usc.edu/works/republican-china/text-analysis,open access,"The USC East Asian Library has been making remarkable progress collecting East Asian archival materials in diverse formats, including photographs, videos, audio recordings, manuscripts, diaries, letters, documents, and maps. These collections were donated to USC by donors in Los Angeles and across the Southern California region. Many of these archival collections focus on Republican China (1911-1949), a period of revolution, political upheaval, and social change in modern Chinese history. The USC Digital Library has digitized most of the items in these collections and made them available to the public. However, they are scattered across various collections and are difficult for researchers to track and discover. Furthermore, since many of these archival materials were given to USC by lesser-known donors and families, their research value may be overlooked by faculty, students, and scholars at USC and around the world. Therefore, conducting a systematic study to examine the content and research value of USC collections would increase their visibility and discoverability to the USC community and worldwide, demonstrating their breadth and significance and promoting more in-depth research in the future.

Percentage of Various Item Categories in USC's Republican China Collections
This exploratory study, funded by the FY2021 USC Libraries Research Grant, analyzes the metadata of over 1,500 items in various categories from digital collections related to Republican China in the USC Digital Library. Nearly one-third (31.8%) of these items are photographs, videos, and maps.",12/14/2023 2:19pm,
Fifty Years of Japanese Performances in Singapore (1965 to 2015),,modern,"Asia,Japan,Singapore",National University of Singapore,National University of Singapore,English,"curated collection,research project,data set/statistics",https://libds.nus.edu.sg/jpsg,open access,"Since Singapore’s independence in 1965, Japan and Singapore have established strong ties in both the public and private sectors. While we see a well-established body of research in the political, economic and social interactions between the two countries, studies in Japanese cultural presence in Singapore have focused mainly on popular culture such as anime and food. What other forms of Japanese cultural presence can we find in Singapore?

In this 5-section visual exhibit we answer this question by presenting performance data of visiting Japanese groups and artists in Singapore between 1965 and 2015.",12/14/2023 2:19pm,
Flora Sinensis,,modern,China,University of Hong Kong Library,University of Hong Kong Library,English,"archive,database,curated collection,visual tools",https://digitalrepository.lib.hku.hk/florasinensis,open access,"Flora Sinensis contains 212 images of paintings of flowers and plants of China. The paintings were commissioned by Dr. Bernard Emms Read (1887-1949), who worked as a scientist in China where he taught at Peking Medical College from 1909 to 1932 and later was Head of Physiological Sciences and Director of the Henry Lester Institute of Medical Research in Shanghai. Dr. Read hoped to publish a complete visual record of plants of China, so he invited Chinese artists to paint from fresh living specimens. The artists were asked to paint exactly what they saw in the flowers and the plants with artistic and scientific precision. Many of the unusual flowers that appear in the paintings were collected by Dr. and Mrs. Read during special trips they made to locate and collect plants in outer Mongolia, Shensi, the Nankow Pass of the Great Wall, and other places. The classification and listing of the Latin and Chinese names were done by Miss B.T. Chiu, a lecturer at the University of Hong Kong’s Department of Botany, in the 1950s. Flora Sinensis, while not complete, may serve as a reference record of the flora of China in the 1920s and the 1930s.",12/14/2023 2:19pm,
Formosa: Nineteenth Century Images,,modern,Taiwan,Reed College,Reed College,English,"archive,database,curated collection,dictionary,maps/mapping,research project,visual tools",https://rdc.reed.edu/c/formosa/home/,open access,"Formosa is a digital library hosted by Reed College that specializes in gathering early images, maps, and texts on Taiwan, which was called ""Formosa"" by foreign visitors in the 19th Century. ",12/14/2023 2:19pm,
Gaihozu: Japanese imperial maps,,modern,"Japan,China,Korea",Stanford University,Stanford University,English,"archive,curated collection,visual tools,database,maps/mapping",https://library.stanford.edu/guides/gaihozu-japanese-imperial-maps,open access,This guide gives information about the Japanese military and imperial maps held at Stanford Libraries.  It provides background information on the maps as well as access to them through an index map interface.  The maps may be downloaded through this interface.,12/14/2023 2:19pm,
Global China Academic Network,,,,China Global Strategic Research Institute,,,,"CGSRI Email: cgsri@vt.edu
Global China Academic Network: global-china-g@vt.edu
https://twitter.com/globalchina2022
",partial open access,"Welcome to the Global China Academic Network, established in 2015 and hosted by Virginia Tech University. This network promotes academic collaboration, exchange, and engagement among students and scholars focusing on various aspects of global China and its interactions with regions such as the Middle East, Central Asia, Africa, Latin America, the United States, and Europe. It serves as a multidisciplinary platform for critical, nuanced, and non-Orientalist exploration of the histories, cultures, politics, languages, societies, and economies connected to Global China. With over 1,900 members, including scholars, policymakers, journalists, and think tank experts, the network facilitates the sharing of conferences, new books/articles, reports, and news. ",9/22/2024 10:59am,tugrulk@vt.edu or cgsri@vt.edu
Grassroots Operations of the Japanese Empire: Translated Primary Sources for Teaching Purposes,,modern,"Japan,China,Korea,East Asia,Taiwan",Sayaka Chatani,Sayaka Chatani,English,"archive,curated collection,pedagogy",https://www.japaneseempire.info/,open access,"This website introduces a variety of primary sources related to the history of the Japanese empire in English translation. It is designed as a sourcebook, but presented in a more flexible format of a website. Unlike many sourcebooks, however, it does not aim to collect representative political documents or evenly represent the duration or geographical scope of Japanese imperialism. Rather, its goal is to allow students in high schools and colleges to read the sources that historians have actually examined in their own work and to experience the joy, wonder, and difficulty of historical interpretation.

Each entry starts with an introduction written by a historian to give a basic context to understand the source. It also gives a list of related secondary sources so instructors can assign together. I obtained help from students at the National University of Singapore to translate each source, which was then edited by each contributing scholar.",12/14/2023 2:19pm,
Historical Photographs of China,,"premodern,modern",China,University of Bristol,University of Bristol,English,"archive,database,visual tools",https://www.hpcbristol.net/,open access,"The Historical Photographs of China project locates, digitizes, and publishes online photographs of China held, largely, in private collections outside the country.",12/14/2023 2:19pm,
History of Western Medicine in China,,modern,"China,Hong Kong",Indiana University Indianapolis,David Luesink,English,"curated collection,bibliography",https://ulib.iupui.edu/wmicproject/,open access,"The History of Western Medicine in China project is a wide collection of information -- archive guides, primary sources, digitized materials –- selected to assist lay people and undergraduate students, as well as established scholars and graduate students. Most sources to date focus on the period from the beginning of the nineteenth century to the formation of the People's Republic of China. In the future we plan to include all aspects of institutionalized medicine in China from the nineteenth century to the present, including TCM.",12/14/2023 2:19pm,
HKU Press Digital Editions,,"premodern,modern",Hong Kong,University of Hong Kong Library,University of Hong Kong Library,English,"archive,database,curated collection,visual tools",https://digitalrepository.lib.hku.hk/hkupress,open access,"This is a project undertaken jointly by the HKU Press and the HKU Libraries. Realizing the worth of the Press' past titles, the Press and the Libraries are working together to place these titles online. Most titles concern Hong Kong or were written by Hong Kong authors. While the Press' earliest print title was published in 1956, the earliest title in these pages is 1991. Online titles in this project will show a link to display the full text, and another one to enable users to order the printed work. In the future, the Press and the Libraries plan to make most titles available in this manner three years after print publication.",12/14/2023 2:19pm,
HKUL eBooks,,modern,"China,East Asia",University of Hong Kong Library,University of Hong Kong Library,English,"archive,database,curated collection",https://digitalrepository.lib.hku.hk/hkulebook,open access,"HKUL eBooks Collection chiefly contains books and texts HKUL has digitized from its own print collections in order to enhance access and improve preservation of library materials. The Collection includes Hong Kong materials which were published before 1950, colonial Hong Kong government publications, as well as other textual materials which are shared by the rights holders.",12/14/2023 2:19pm,
Hong Kong and the West until 1860,,premodern,"Hong Kong,East Asia",Hong Kong University,Hong Kong University,English,"archive,database,visual tools",https://digitalrepository.lib.hku.hk/hkwest,open access,"The ""Hong Kong & the West until 1860"" database was created by the University of Hong Kong Libraries in response to the Pacific Rim Digital Library Alliance's project of setting up among member libraries a digital Pacific Explorations Archive for access and preservation of important materials related to the exploration of the Pacific.",12/14/2023 2:19pm,
Hong Kong Early Tabloid Newspapers,,modern,Hong Kong,The Chinese University of Hong Kong,The Chinese University of Hong Kong,English,"curated collection,archive,database,visual tools",https://repository.lib.cuhk.edu.hk/en/collection/hk-tabloid,partial open access,"This collection consists of digitized tabloid newspapers. 'Tabloid Newspaper’ refers to ‘newspaper and then broadcast journalistic output that prioritizes entertainment, human interest and commercial profitability and which is usually presented as oppositional to “serious” and socially responsible journalism’ (Anita Biressi and Heather Nunn, 2008, p. 7). In China, You xi Bao (Game News) founded by Li Boyuan in Shanghai at the end of the nineteenth century is generally considered to be the earliest modern Tabloid.  Its contents include current affairs rumors, poetry novels, witty and satirical articles, etc (Zhu Junzhou, 2013, p. 5).  After its success, many other tabloid newspapers appeared and were popular in big cities such as Shanghai and Hong Kong.",12/14/2023 2:19pm,
Hong Kong Government Reports Online,,modern,Hong Kong,University of Hong Kong Library,University of Hong Kong Library,English,"archive,curated collection,database,visual tools",https://digitalrepository.lib.hku.hk/hkgro,open access,"Hong Kong Government Reports Online (HKGRO) is a full-text image database providing online access of government publications. It includes Administrative Reports, Hong Kong Sessional Papers, Hong Kong Hansard, Hong Kong Government Gazette, Hong Kong Blue Book and the annual reports of government departments and special committees. The publications contain a wide range of information, such as official notifications, proceedings of the Legislative Council, statistics, and reports of government departments and special committees, which are essential to students and scholars in conducting research on Hong Kong.",12/14/2023 2:19pm,
Hong Kong Image Database,,modern,"Asia,Hong Kong",Hong Kong University,Hong Kong University,English,"archive,database,visual tools",https://digitalrepository.lib.hku.hk/hkimage,open access,"The Hong Kong Image Database is a digital collection of historical images documenting the Hong Kong experience from the 1840s through to the 1990s. The Database features a wealth of images of Hong Kong, including people, landscapes, infrastructures, villages, agriculture and fisheries activities, industrial settings, housing, buildings, panoramas, and more. The University of Hong Kong Libraries unlocks this digital vault of historic images with rich metadata and makes them freely available for public consultation.",12/14/2023 2:19pm,
Hong Kong Journals Online,,modern,Hong Kong,University of Hong Kong Library,University of Hong Kong Library,English,"archive,database,visual tools",https://digitalrepository.lib.hku.hk/hkjo,open access,"Hong Kong Journals Online (HKJO) is a full-text image database providing access to selected academic and professional journals, both in English and Chinese, published in Hong Kong. Titles included in this database cover a wide range of disciplines including law, medicine and education. The University of Hong Kong Libraries, with a rich collection of Hong Kong journals, developed this database with the objectives of facilitating efficient information retrieval and preserving archival materials. Issues included in this database vary from journal to journal with the earliest going back to 1872. Currently, more than 491,290 images from over 60 titles will be accessible on the database. More titles with permission granted for digitising their full text will be included to the database. New issues of the titles will also be added as soon as being received. Scholars doing research on Hong Kong will find this an invaluable resource.",12/14/2023 2:19pm,
Hong Kong Memory,,modern,Hong Kong,Hong Kong Memory,Hong Kong Memory,English,"archive,visual tools,curated collection,research project",https://www.hkmemory.hk/index.html,open access,"Hong Kong Memory (HKM) is a multi-media web site that gives free and open access to digitized materials on Hong Kong’s history, culture and heritage. The materials include text documents, photographs, posters, sound recordings, motion pictures and videos.",12/14/2023 2:19pm,
Hong Kong Sheng Kung Hui Archives,,"modern,premodern",Hong Kong,Hong Kong Sheng Kung Hui,Hong Kong Sheng Kung Hui,English,"curated collection,archive,database",http://archives.hkskh.org/Index.aspx,open access,"The Hong Kong Sheng Kung Hui Archives was established in January 2010. The website is designed to introduce archival holdings and present materials and photographs which are relevant to the history of Anglican and Episcopal churches in China. The archives is developing a small library of important reference books and historical studies and includes rare books and materials on the history of Christianity in China, especially works on the Anglican tradition. Of particular interest are the various editions of the Chinese Book of Common Prayer, in both original and digitized formats.",12/14/2023 2:19pm,
Hong Kong’s War Crimes Trials Collection,,modern,Hong Kong,Suzannah Linton,Suzannah Linton,English,"archive,curated collection,visual tools,bibliography",https://hkwctc.lib.hku.hk/exhibits/show/hkwctc/home,partial open access,"The HKWCT Collection is part of a project funded by the Hong Kong SAR government’s Research Grants Council. The Collection’s website provides details of, and access to, the case files of 46 trials involving 123 persons who were tried in Hong Kong for war crimes committed during the Second World War.  Due to restrictions imposed by the copyright holder, The National Archives, it is only possible for persons based at one of the universities in Hong Kong to have full access to the case files.  However, other documents are available to everyone.",12/14/2023 2:19pm,
Hoover Institution Library & Archives Digital Collections,,modern,"Japan,China,Taiwan,Korea","Hoover Institution Library & Archives, Stanford University","Hoover Institution Library & Archives, Stanford University",English,"archive,database",http://digitalcollections.hoover.org,partial open access,"A growing collection of digitized posters, photographs, manuscripts, moving images, sound recordings, and other historical materials from the Hoover Institution Library & Archives at Stanford University.",12/14/2023 2:19pm,
Hoover Institution: Taiwan Collections,,modern,Taiwan,Hoover Institution Library & Archives,Hoover Institution Library & Archives,English,"curated collection,archive,visual tools",https://www.hoover.org/library-archives/collections/taiwan,open access,"A considerable portion of the Taiwan collections are from the Chinese Nationalist Party, or Kuomintang (KMT), and KMT officials active between the 1970s and 2000s, when democratization and economic development policies were shaped. Also available are campaign materials of the Democratic Progressive Party, in power from 2000 to 2008, and English-language materials by and about Westerners and foreign entities who engaged with Taiwan around VJ Day. ",12/14/2023 2:19pm,
Kotenseki Sogo Database: Japanese and Chinese Classics,,premodern,"Japan,China",Waseda University,Waseda University,English,"archive,curated collection,database",https://www.wul.waseda.ac.jp/kotenseki/index_en.html,open access,"The purpose of this database is to provide the widest possible public access to the Waseda University Library's collection of Japanese and Chinese classics, in the form of bibliographical information, related scholarly materials, as well as full-text images. The collection of some 300,000 items, including two National Treasures and five Important Cultural Properties, comprises materials of every conceivable genre. You can access detailed bibliographical information and clear, full-color images.",12/14/2023 2:19pm,
Lafayette East Asia image Collection ,,modern,"Japan,Korea,China,Taiwan,East Asia","Lafayette College, Paul Barclay","Lafayette College, Paul Barclay",English,"visual tools,curated collection,database",https://dss.lafayette.edu/collections/east-asia-image-collection/,open access,"The East Asia Image Collection (EAIC) is an open-access archive of digitized photographs, negatives, postcards, rare books and slides documenting the history of imperial Japan (1868-1945), its Asian empire (1895-1945) and occupied Japan (1947-52). Images of Taiwan, Japan, China, Korea , Manchuria, and Indonesia.",12/14/2023 2:19pm,
Late Qing and Republican-Era Chinese Newspapers,,modern,China,Center for Research Libraries Global Resources Network,Center for Research Libraries Global Resources Network,English,"curated collection,archive,database",https://gpa.eastview.com/crl/lqrcn/,open access,"The first half of the twentieth century began with the demise of China’s last imperial dynasty, the Great Qing, and ended with the foundation of the People’s Republic of China in October 1949. Following the 1912 establishment of China’s first post-imperial government, the Republic of China, the country experienced both industrial and social revolution, a civil war during which communist and nationalist forces battled to shape the country’s future, and looming external threats during both world wars.

The Late Qing and Republican-Era Chinese Newspapers collection provides invaluable perspective on this critical period. The press of more than twenty cities is represented, spanning the Chinese mainland and the entire half century. The collection provides researchers a richly comprehensive perspective on Chinese life, culture, and politics throughout the collapse of the Qing Dynasty, the years of provisional government and civil war, and the birth of the People’s Republic.

Open Access to this collection is made possible through the generous support of the Center for Research Libraries and its member institutions.",12/14/2023 2:19pm,
Library of Congress Chinese Rare Book Digital Collection,,premodern,China,Library of Congress,Asian Division of the Library of Congress,English,"curated collection,searchable catalog",https://www.loc.gov/collections/chinese-rare-books/,open access,"The Chinese Rare Book Digital Collection draws from the 5,300 titles of Chinese rare books housed at the Asian Division of the Library of Congress. The online presentation includes nearly 2,000 digitized rare titles. The Chinese Rare Book Digital Collection includes the most valuable titles and editions housed in the Library’s Asian Division, some of which date back to the 11th or 12th century and are the only extant copies in the world. This new digital collection brings together printed books, manuscripts, Buddhist sutras, works with hand-painted pictures, local gazetteers, and ancient maps. These materials encompass a wide array of disciplines and subjects in classics, history, geography, philosophy, and literature. The majority are editions from the Ming dynasty (1368-1644) and early Qing dynasty (1644-1795), while nearly 30 titles are Song dynasty (960-1279) and Yuan dynasty (1279-1368) editions.",12/14/2023 2:19pm,
Local Gazetteers Research Tools (LoGaRT),,premodern,China,Max Planck Institute for the History of Science,Max Planck Institute for the History of Science,English,"archive,maps/mapping,database,data set/statistics,research project",https://www.mpiwg-berlin.mpg.de/website/local-gazetteers-research-tools-logart,partial open access,"Developed as part of the Local Gazetteers Working Group in Department III, “Local Gazetteers Research Tools” (LoGaRT) is a software for searching, analyzing, and collecting data from digitized Chinese local gazetteers (difangzhi 地方志)—major primary sources for the study of China’s local history.",12/14/2023 2:19pm,
Love and Desires: Female Characters Depicted by Eileen Chang,,modern,China,Washington University,Washington University,English,"archive,curated collection,visual tools,research project",https://wustl.omeka.net/exhibits/show/love-and-desires,open access,"This exhibit is dedicated to the 100th birthday of Eileen Chang 張愛玲 (Zhang Ailing, 1920–1995), one of the most influential female Chinese writers in the 20th century. Here we focus mostly on female characters depicted by Eileen Chang, in particular, middle-class women in the two modern cities, Shanghai and Hong Kong, their choices of love and desires for money and power in a male-dominated society and during turbulent wartime in the 1940s and 1950s. The exhibit begins with a short biography of Eileen Chang and lists her major literary works (fiction and essays) in four significant periods of her life. The list of available English translations gives non-native speakers a chance to read and love Eileen’s works. The selected works highlight female characters depicted by Eileen Chang through narrative background and stories. Well-known adapted films and TV series are also correspondingly connected. ",9/10/2024 4:45pm,
MADSpace,,modern,China,Cécile Armand,Cécile Armand,English,"archive,curated collection,research project,data set/statistics",https://madspace.org/,open access,"MADSpace (Mapping Advertising Space) was born in 2016 as a digital companion to a PhD dissertation devoted to a spatial history of advertising in modern China. It was designed to store, organize and connect primary sources or raw data (archives, printed materials, maps, photos), analytical materials or cooked data (graphs, maps, trees, tables, timelines), multimedia narratives (dissertation, published papers, unpublished essays), bibliographical references and other resources. It also includes a relational database of some 2,000 historical actors involved in the advertising industry (companies, branded products). Since then, it has expanded beyond its initial purpose to include over 950 archival documents, 1,500 printed materials, 1,000 images, and more than 700 “cooked data” to date, all related to various interconnected research interests that branch out of the history of advertising, such as market expertise, consumer culture, Americanization, the modern press and public opinion in China. It is regularly updated and enriched.",12/14/2023 2:19pm,
